sex,birth_year,marital_status,religion,job_code,income,region_code
female,1991,5,1,254.0,180.0,1
female,1992,1,1,,,1
female,1943,2,2,,,1
female,1924,2,2,,,1
female,1971,1,1,259.0,109.7,1
female,1998,0,1,,,1
female,1999,0,1,,,1
male,1968,1,2,771.0,220.3,1
male,1958,1,1,721.0,276.3,1
female,1958,1,1,930.0,123.2,1
male,1986,1,2,135.0,167.5,1
male,1984,5,1,245.0,231.0,1
female,1984,1,2,,,1
male,2013,0,2,,,1
male,1966,1,1,862.0,428.7,1
female,1968,1,1,399.0,60.0,1
male,2000,0,1,,,1
male,1974,1,2,773.0,247.0,1
female,1973,1,2,930.0,131.8,1
female,2003,0,2,,,1
male,2004,0,2,,,1
male,1959,1,1,,,1
female,1959,1,1,,,1
female,1984,5,1,,,1
male,1986,5,1,312.0,220.0,1
male,1960,1,2,530.0,,1
female,1960,1,1,521.0,120.0,1
male,1988,5,2,,,1
male,1985,5,2,221.0,393.3,1
female,1960,4,1,951.0,108.0,1
male,1987,5,1,,,1
female,1943,4,1,941.0,73.0,1
female,1971,5,2,422.0,234.0,1
male,1959,1,2,873.0,,1
female,1965,1,2,930.0,,1
male,1987,5,2,,,1
female,1988,5,2,,,1
male,1938,3,1,941.0,,1
female,1939,2,1,,,1
male,1964,5,1,751.0,205.0,1
male,1969,1,2,312.0,251.0,1
female,1977,1,2,314.0,140.0,1
female,1939,2,1,,,1
female,2006,0,2,,,1
male,2010,0,2,,,1
female,1971,1,2,312.0,275.0,2
male,1966,1,1,251.0,145.8,2
male,2011,0,2,,,2
male,1965,5,2,,,1
female,1958,3,1,521.0,190.0,1
male,1987,5,1,399.0,150.0,1
male,1938,2,2,,,1
female,1942,2,1,,,1
male,1925,1,2,,,1
female,1936,1,2,,,1
female,1953,2,1,951.0,,1
male,1978,1,1,753.0,408.0,1
male,1979,5,1,141.0,500.0,1
female,1979,1,1,,,1
male,2009,0,1,,,1
male,2011,0,1,,,1
female,1946,3,1,,,1
male,1957,5,2,941.0,52.8,1
female,1934,2,1,,,1
male,1972,1,2,722.0,238.3,1
female,1965,1,2,930.0,114.2,1
male,1999,0,2,,,1
female,1958,1,1,422.0,,1
female,1983,1,2,320.0,,2
male,1984,1,2,761.0,266.7,2
male,1955,1,1,773.0,,1
male,1975,1,2,246.0,341.6,2
female,1984,1,2,,,2
male,2014,0,2,,,2
female,2013,0,2,,,2
male,1945,3,2,942.0,220.2,1
female,1982,5,1,289.0,194.3,1
female,1957,2,1,951.0,,1
female,1979,1,2,320.0,130.0,1
male,1975,1,2,231.0,416.6,1
male,2012,0,2,,,1
male,1932,1,1,,,1
female,1940,1,1,,,1
male,1959,1,1,,,1
female,1964,1,1,952.0,192.0,1
female,1989,5,1,254.0,583.3,1
female,1990,5,1,243.0,260.0,1
male,1952,3,1,,,1
male,1952,1,1,,,1
female,1950,1,1,,,1
female,1980,5,1,,,1
male,1972,1,1,281.0,420.6,1
female,1976,1,1,,,1
female,2003,0,1,,,1
female,2005,0,1,,,1
female,2007,0,1,,,1
male,1959,1,1,741.0,313.3,1
female,1962,1,1,952.0,126.0,1
female,1986,5,1,243.0,233.0,1
female,1989,5,1,289.0,166.7,1
male,1967,1,2,873.0,,1
female,1968,1,2,422.0,,1
female,1995,5,2,,,1
male,2000,0,2,,,1
male,1973,1,1,312.0,416.0,1
female,1976,1,1,313.0,140.0,1
male,2006,0,1,,,1
male,1973,1,2,312.0,358.0,1
female,1973,1,2,313.0,110.0,1
female,2000,0,2,,,1
male,2002,0,2,,,1
male,1964,1,2,261.0,400.0,1
female,1962,1,1,247.0,50.0,1
female,1991,5,1,,,1
male,1947,1,1,,,1
female,1958,1,1,422.0,,1
male,1976,1,1,941.0,,1
female,1981,1,1,254.0,120.0,1
male,2008,0,1,,,1
female,1951,2,1,,,1
female,1933,2,1,,,1
male,1976,1,2,245.0,325.0,2
female,1977,1,2,,,2
male,2004,0,2,,,2
male,2007,0,2,,,2
male,1933,1,1,,,1
female,1936,1,1,,,1
male,1958,1,1,873.0,162.0,1
female,1962,1,1,,,1
male,1988,5,1,245.0,209.9,1
male,1977,1,2,441.0,324.0,7
female,1977,1,2,246.0,162.0,7
female,2007,0,2,,,7
female,2009,0,2,,,7
male,2011,0,2,,,7
male,1935,2,2,,,1
male,1985,1,2,312.0,185.0,5
female,1982,1,2,864.0,320.0,5
male,1979,1,2,222.0,,2
female,1979,1,2,,,2
male,2007,0,2,,,2
female,2013,0,2,,,2
female,1946,2,2,,,2
male,1944,1,1,873.0,,1
female,1952,1,1,,,1
male,1944,1,1,,,2
female,1952,1,1,,,2
male,1963,1,2,312.0,426.7,1
female,1968,1,2,243.0,303.9,1
male,2000,0,2,,,1
male,1946,1,2,942.0,139.0,1
female,1948,1,1,,,1
male,1932,1,2,,,1
female,1936,1,2,,,1
male,1935,1,1,,,1
female,1942,1,1,,,1
male,1977,1,1,510.0,429.7,2
female,1979,1,1,,,2
male,2006,0,1,,,2
female,2008,0,1,,,2
female,1930,2,2,,,1
male,1960,5,2,910.0,,1
female,1930,2,1,,,1
male,1965,1,2,762.0,,1
female,1970,1,2,,,1
female,1995,5,2,,,1
female,2001,0,2,,,1
female,1940,2,2,,,1
female,1943,2,1,999.0,20.0,1
male,1938,1,1,,,1
female,1946,1,2,,,1
male,1954,1,2,873.0,,1
female,1958,1,2,521.0,,1
male,1984,5,2,910.0,,1
female,1937,2,1,930.0,,1
female,1962,2,1,,,1
female,1941,2,1,930.0,85.42,1
male,1968,5,1,952.0,85.42,1
male,1965,1,1,999.0,,1
female,1967,1,1,999.0,,1
